dataset,fold,linear_mod,sl_full,sl_best_grid_1,sl_best_grid_3,sl_best_grid_5,sl_best_random10_1,sl_best_random10_3,sl_best_random10_5,sl_best_random25_1,sl_best_random25_3,sl_best_random25_5,sl_best_random50_1,sl_best_random50_3,sl_best_random50_5,sl_best_random100_1,sl_best_random100_3,sl_best_random100_5,sl_default_subset,sl_ga_subset,discrete_sl
1027_ESL,1,0.09214893461607865,0.08207523165616873,0.0853404917395092,0.08315404699215917,0.08207523165616873,0.0853404917395092,0.08315404699215917,0.08207523165616876,0.0853404917395092,0.08315404699215917,0.08207523165616876,0.0853404917395092,0.08315404699215917,0.08207523165616873,0.0853404917395092,0.08315404699215917,0.08207523165616873,0.08275780931415419,0.08211861546642267,0.09105651426373793
1027_ESL,2,0.1416118326487332,0.1528353274502177,0.1530814330154694,0.15266645565881914,0.1526438077790367,0.1530814330154694,0.15266645565881914,0.1526438077790367,0.1530814330154694,0.15266645565881914,0.1526438077790367,0.1530814330154694,0.15266645565881914,0.1526438077790367,0.1530814330154694,0.15266645565881914,0.1526438077790367,0.15256881402893324,0.15305160490096267,0.14161530296463606
1027_ESL,3,0.17995864386831076,0.18839036932881348,0.18780133500419285,0.18968697517977978,0.1885440422359481,0.18780133500419285,0.18968697517977978,0.1885440422359481,0.18780133500419285,0.18968697517977978,0.1885440422359481,0.18780133500419285,0.18968697517977978,0.1885440422359481,0.18780133500419285,0.18968697517977978,0.1885440422359481,0.19193631008982825,0.18839036932881348,0.17994973543849713
1027_ESL,4,0.1364276734511371,0.135581633944758,0.1360741634824537,0.13301927880506595,0.135581633944758,0.1360741634824537,0.13301927880506595,0.135581633944758,0.1360741634824537,0.13301927880506595,0.135581633944758,0.1360741634824537,0.13301927880506595,0.135581633944758,0.1360741634824537,0.13301927880506595,0.135581633944758,0.1363833168742643,0.135581633944758,0.13694906977907795
1027_ESL,5,0.16301831809055423,0.17667301560461757,0.17043909789272518,0.1703649258238952,0.17667301560461757,0.17043909789272518,0.1703649258238952,0.17667301560461757,0.17043909789272518,0.1703649258238952,0.17667301560461757,0.17043909789272518,0.1703649258238952,0.17667301560461757,0.17043909789272518,0.1703649258238952,0.17667301560461757,0.1693160509120248,0.17667301560461757,0.1632541809985968
1027_ESL,6,0.155011720341611,0.1438187943729103,0.1495282246767876,0.14599812691067732,0.14503724632779613,0.1495282246767876,0.14599812691067732,0.14503724632779613,0.1495282246767876,0.14599812691067732,0.14503724632779613,0.1495282246767876,0.14599812691067732,0.14503724632779613,0.1495282246767876,0.14599812691067732,0.14503724632779613,0.15057254134363326,0.143678381350826,0.1559738889996525
1027_ESL,7,0.10922111649447376,0.1320401245838689,0.10434733171080772,0.13895447093433969,0.12801977128553893,0.10434733171080772,0.13895447093433969,0.12801977128553904,0.10434733171080772,0.13895447093433969,0.12801977128553893,0.10434733171080772,0.13895447093433969,0.12801977128553893,0.10434733171080772,0.13895447093433969,0.12801977128553893,0.13569183319504524,0.12167490673289898,0.10901002977898912
1027_ESL,8,0.1202768344073186,0.11553229419257165,0.11527625753563445,0.11496598630982198,0.11553229419257165,0.11527625753563445,0.11496598630982198,0.11553229419257165,0.11527625753563445,0.11496598630982198,0.11553229419257165,0.11527625753563445,0.11496598630982198,0.11553229419257165,0.11527625753563445,0.11496598630982198,0.11553229419257165,0.1173144063667065,0.11553229419257165,0.11997260640313669
1027_ESL,9,0.1707436066825797,0.15065154866342237,0.15097122236207164,0.15067012249157885,0.15065154866342242,0.15097122236207164,0.15067012249157885,0.15065154866342242,0.15097122236207164,0.15067012249157885,0.15065154866342242,0.15097122236207164,0.15067012249157885,0.15065154866342242,0.15097122236207164,0.15067012249157885,0.15065154866342242,0.15124097199168843,0.15078542928263602,0.16903141461408566
1027_ESL,10,0.14980687124777928,0.12811199523653713,0.12741587350253858,0.12810129018425867,0.12811199523653713,0.12741587350253858,0.12810129018425867,0.12811199523653713,0.12741587350253858,0.12810129018425867,0.12811199523653713,0.12741587350253858,0.12810129018425867,0.12811199523653713,0.12741587350253858,0.12810129018425867,0.12811199523653713,0.12600352259241904,0.12792862250518447,0.14991467990896623
